Seed,Population Size,Max Depth,Mutation Rate,Tournament Size,Crossover Rate,Grid Size,Generations,Games to Play,Win Weight,Trail Weight,Best Red Agent Fitness,Best Blue Agent Fitness
42,20,4,0.10,3,0.80,5,200,5,3.00,1.00,0.57,0.57
42,20,3,0.10,3,0.80,5,200,5,3.00,1.00,0.60,0.57
42,20,8,0.10,3,0.80,5,200,5,1.00,0.10,0.20,0.20
42,200,8,0.10,3,0.80,5,500,5,1.00,0.10,0.19,0.19
42,200,4,0.10,3,0.80,5,500,5,1.00,0.10,0.19,0.19
42,200,4,0.10,3,0.80,2,500,5,1.00,0.10,0.200,0.200
42,200,4,0.10,3,0.80,15,500,5,1.00,3.00,0.198,0.195
42,200,10,0.10,3,0.80,15,500,5,1.00,3.00,0.192,0.197
42,200,5,0.10,3,0.80,15,500,5,10.00,3.00,1.930,1.980
42,200,5,0.10,3,0.80,15,500,5,10.00,3.00,1.990,1.910
42,200,5,0.10,3,0.80,15,500,5,10.00,3.00,1.900,1.980
42,200,5,0.10,3,0.80,15,500,5,10.00,3.00,1.980,1.980
42,200,5,0.10,3,0.80,15,500,5,10.00,3.00,10.316,9.997
42,100,3,0.10,3,0.80,15,500,1,1.00,0.10,2.319,2.431
42,100,3,0.10,3,0.80,15,500,3,10.00,1.00,8.227,7.797
42,100,10,0.10,3,0.80,15,500,1,10.00,1.00,23.150,24.800
42,100,10,0.10,3,0.80,5,500,1,10.00,1.00,10.660,10.760
42,100,10,0.10,3,0.80,10,500,1,10.00,1.00,15.060,15.370
42,100,5,0.01,3,0.80,10,500,1,100.00,2.00,110.820,109.440
42,100,5,0.01,3,0.80,10,500,1,1000.00,20.00,1097.600,1098.600
42,100,5,0.01,3,0.80,10,500,1,100.00,200.00,1354.000,1367.000
42,200,5,0.01,3,0.80,9,2000,1,100.00,20.00,180.500,187.700
42,100,5,0.01,4,0.80,9,1000,1,100.00,2.00,107.260,109.860
42,100,5,0.01,4,0.80,9,1000,1,100.00,2.00,109.800,107.300
42,100,5,0.01,4,0.80,9,1000,1,10.00,1.00,13.480,13.360
42,50,6,0.01,4,0.80,5,150,1,8.00,2.00,8.000,-130.320
42,50,6,0.01,4,0.80,7,250,1,8.00,2.00,-62.058,-66.140
42,50,6,0.01,4,0.80,5,250,1,8.00,2.00,8.000,8.000
42,100,6,0.02,5,0.80,10,500,1,10.00,1.00,10.000,-139.200
42,100,6,0.02,5,0.80,5,200,1,10.00,1.00,10.000,-61.100
34546,10,4,6,0.40,4,0.80,9,1000,3,10.00,1.10,15.400,11.000
34546,10,4,6,0.40,4,0.80,9,1000,3,100.00,1.00,15.000,12.000
34546,10,4,6,0.40,4,0.80,9,1000,3,100.00,1.00,25.000,25.000
34546,10,4,6,0.40,4,0.80,9,1000,3,100.00,50.00,10.000,10.000
34546,10,5,10,0.40,4,0.80,9,1000,3,100.00,50.00,630.000,735.000
34546,50,3,10,0.10,4,0.80,9,1000,3,100.00,50.00,0.000,0.000
34546,50,3,10,0.10,4,0.80,9,1000,3,100.00,50.00,0.000,0.000
34546,50,3,10,0.10,4,0.80,9,1000,5,100.00,50.00,10.000,10.000
65756,50,3,10,0.10,4,0.80,9,100,5,100.00,50.00,10.000,10.000
65756,50,3,10,0.10,4,0.80,9,100,5,100.00,50.00,10.000,10.000
65756,50,3,10,0.10,4,0.80,5,100,5,100.00,50.00,0.000,0.000
65756,50,3,10,0.10,4,0.80,5,100,5,100.00,50.00,0.000,0.000
65756,50,3,10,0.10,4,0.80,5,100,5,100.00,50.00,0.000,0.000
65756,50,3,10,0.10,4,0.80,5,100,5,100.00,50.00,0.000,0.000
1231,100,7,10,0.01,5,0.80,8,100,1,20.00,5.00,5.000,5.000
1231,100,7,10,0.01,5,0.80,8,10,1,20.00,5.00,5.000,5.000
1231,100,7,10,0.01,5,0.80,8,10,1,20.00,5.00,5.000,5.000
1231,100,7,10,0.01,5,0.80,8,10,1,20.00,5.00,5.000,5.000
1231,100,7,10,0.01,5,0.80,8,10,1,20.00,5.00,5.000,5.000
1231,100,7,10,0.01,5,0.80,8,10,1,20.00,5.00,140.000,140.000
1231,100,7,10,0.01,5,0.80,5,10,1,20.00,5.00,60.000,65.000
1231,100,7,10,0.01,5,0.80,5,10,1,20.00,5.00,80.000,55.000
1231,100,7,10,0.01,5,0.80,5,100,1,20.00,5.00,20.000,20.000
1231,100,7,8,0.01,5,0.80,5,100,1,20.00,5.00,60.000,20.000
1231,100,7,8,0.01,5,0.80,5,100,1,20.00,5.00,80.000,80.000
1231,100,1,1,0.01,5,0.80,10,100,1,20.00,5.00,145.000,145.000
1231,100,3,3,0.01,4,0.80,8,100,3,20.00,5.00,155.000,166.667
1231,100,7,5,0.01,3,0.80,8,1000,3,20.00,5.00,170.000,170.000
1231,100,3,4,0.05,2,0.80,8,1000,3,20.00,5.00,890.000,590.000
1231,100,3,4,0.10,2,0.80,8,1000,3,20.00,5.00,110.000,105.000
1231,100,5,6,0.05,2,0.80,6,1000,10,20.00,5.00,50.500,42.500
